,V1,V2,V3,V4
result.1,0.04,0.094699,0.097013,0.097013
result.2,0.0416242014090553,0.095401,0.097883,0.097883
result.3,0.0432807252342113,0.098038,0.100622,0.100622
result.4,0.0449695714754678,0.099806,0.102619,0.102619
result.5,0.0466907401328249,0.101522,0.104385,0.104385
result.6,0.0484442312062827,0.103252,0.10638,0.10638
result.7,0.050230044695841,0.106099,0.10941,0.10941
result.8,0.0520481806015,0.107183,0.110681,0.110681
result.9,0.0538986389232595,0.110119,0.113785,0.113785
result.10,0.0557814196611197,0.111523,0.115439,0.115439
result.11,0.0576965228150804,0.113737,0.117774,0.117774
result.12,0.0596439483851418,0.115969,0.12024,0.12024
result.13,0.0616236963713038,0.118003,0.122416,0.122416
result.14,0.0636357667735663,0.120444,0.125198,0.125198
result.15,0.0656801595919295,0.122752,0.127678,0.127678
result.16,0.0677568748263933,0.125066,0.130291,0.130291
result.17,0.0698659124769576,0.126958,0.13246,0.13246
result.18,0.0720072725436226,0.129731,0.13549,0.13549
result.19,0.0741809550263882,0.132096,0.138055,0.138055
result.20,0.0763869599252544,0.134275,0.140548,0.140548
result.21,0.0786252872402212,0.137161,0.143627,0.143627
result.22,0.0808959369712886,0.139388,0.146135,0.146135
result.23,0.0831989091184566,0.142055,0.149229,0.149229
result.24,0.0855342036817252,0.143979,0.151512,0.151512
result.25,0.0879018206610944,0.1473,0.154979,0.154979
result.26,0.0903017600565642,0.148986,0.157134,0.157134
result.27,0.0927340218681346,0.152647,0.161028,0.161028
result.28,0.0951986060958057,0.155003,0.163745,0.163745
result.29,0.0976955127395773,0.158065,0.167228,0.167228
result.30,0.10022474179945,0.161072,0.170689,0.170689
result.31,0.102786293275422,0.16369,0.17383,0.17383
result.32,0.105380167167496,0.165853,0.176138,0.176138
result.33,0.10800636347567,0.16919,0.17996,0.17996
result.34,0.110664882199944,0.171319,0.182567,0.182567
result.35,0.11335572334032,0.174233,0.185936,0.185936
result.36,0.116078886896796,0.176922,0.189058,0.189058
result.37,0.118834372869372,0.180131,0.192769,0.192769
result.38,0.121622181258049,0.18351,0.196451,0.196451
result.39,0.124442312062827,0.185716,0.199222,0.199222
result.40,0.127294765283705,0.189211,0.203041,0.203041
result.41,0.130179540920684,0.191834,0.206025,0.206025
result.42,0.133096638973763,0.195545,0.210545,0.210545
result.43,0.136046059442943,0.198934,0.214288,0.214288
result.44,0.139027802328224,0.201775,0.217581,0.217581
result.45,0.142041867629605,0.205099,0.221517,0.221517
result.46,0.145088255347087,0.20713,0.224232,0.224232
result.47,0.14816696548067,0.211197,0.228945,0.228945
result.48,0.151277998030353,0.214409,0.232584,0.232584
result.49,0.154421352996136,0.217393,0.236301,0.236301
result.50,0.157597030378021,0.221318,0.240534,0.240534
result.51,0.160805030176006,0.224028,0.243936,0.243936
result.52,0.164045352390091,0.227199,0.247809,0.247809
result.53,0.167317997020277,0.231169,0.25258,0.25258
result.54,0.170622964066564,0.233989,0.256142,0.256142
result.55,0.173960253528951,0.23823,0.260777,0.260777
result.56,0.177329865407439,0.241437,0.264768,0.264768
result.57,0.180731799702028,0.244734,0.269114,0.269114
result.58,0.184166056412717,0.247772,0.27268,0.27268
result.59,0.187632635539507,0.25162,0.277353,0.277354
result.60,0.191131537082397,0.254719,0.280958,0.280958
result.61,0.194662761041388,0.258564,0.285724,0.285724
result.62,0.198226307416479,0.262534,0.290393,0.290393
result.63,0.201822176207672,0.265715,0.294346,0.294346
result.64,0.205450367414964,0.270155,0.299798,0.299799
result.65,0.209110881038358,0.270812,0.301447,0.301447
result.66,0.212803717077852,0.273198,0.304363,0.304364
result.67,0.216528875533446,0.280437,0.312432,0.312434
result.68,0.220286356405141,0.282149,0.314853,0.314853
result.69,0.224076159692937,0.285217,0.319082,0.319085
result.70,0.227898285396833,0.290083,0.3248,0.324803
result.71,0.23175273351683,0.29434,0.329497,0.329501
result.72,0.235639504052928,0.298209,0.334862,0.334867
result.73,0.239558597005126,0.30229,0.33951,0.339513
result.74,0.243510012373425,0.305275,0.343568,0.343571
result.75,0.247493750157824,0.30944,0.349027,0.349034
result.76,0.251509810358324,0.312504,0.35271,0.352721
result.77,0.255558192974925,0.315034,0.356591,0.356604
